,0
0,0.28
1,0.79
2,0.35
3,0.29
4,0.8
5,0.34
6,0.28
7,0.81
8,0.34
9,0.27
10,0.84
11,0.34
12,0.27
13,0.86
14,0.33
15,0.25
16,0.83
17,0.32
18,0.26
19,0.82
20,0.32
21,0.25
22,0.85
23,0.34
24,0.22
25,0.81
26,0.36
27,0.19
28,0.74
29,0.39
30,0.22
31,0.78
32,0.46
33,0.3
34,0.91
35,0.37
36,0.49
37,0.93
38,0.34
39,0.51
40,0.8
41,0.33
42,0.46
43,0.52
44,0.28
45,0.56
46,0.87
47,0.08
48,0.51
49,1.33
50,-0.09
51,0.32
52,1.06
53,-0.03
54,0.21
55,0.56
56,0.46
57,0.31
58,0.37
59,1.23
60,0.3
61,0.62
62,0.99
63,0.18
64,0.7
65,0.5
66,0.33
67,0.79
68,-0.06
69,0.27
70,1.48
71,-0.62
72,0.38
73,1.3
74,-0.45
75,0.43
76,0.81
77,-0.06
78,0.29
79,0.2
80,0.29
81,0.28
82,0.17
83,0.4
84,0.23
85,1.43
86,0.05
87,0.46
88,1.89
89,-0.31
90,0.49
91,0.65
92,0.09
93,0.33
94,-0.15
95,0.63
96,0.35
97,0.7
98,0.31
99,0.48
100,1.82
101,-0.15
102,0.32
103,0.56
104,0.29
105,0.28
106,0.02
107,0.65
108,0.31
109,0.76
110,0.33
111,0.33
112,1.35
113,0.1
114,0.24
115,0.66
116,0.3
117,0.28
118,0.43
119,0.32
120,0.25
121,0.74
122,0.25
123,0.33
124,1.03
125,0.12
126,0.37
127,0.96
128,0.15
129,0.36
130,0.93
131,0.2
132,0.32
133,1.07
134,0.2
135,0.29
136,1.36
137,0.16
138,0.32
139,1.46
140,0.1
141,0.37
142,0.68
143,0.27
144,0.3
145,0.52
146,0.36
147,0.24
148,0.39
149,0.55
150,0.21
151,0.11
152,0.66
153,0.19
154,0.11
155,0.57
156,0.18
157,0.05
158,0.4
159,0.18
160,0.16
161,0.12
162,0.23
163,-0.13
164,-0.07
165,0.28
166,0.62
167,-0.56
168,-0.43
169,2.38
170,-0.91
171,-0.22
172,3.32
173,-0.78
174,0.0
175,1.84
176,-0.05
177,-0.36
178,0.95
179,-0.18
180,-0.43
181,0.53
182,0.0
183,-0.1
184,0.86
185,0.02
186,-0.09
187,0.72
188,0.01
189,0.1
190,0.63
191,-0.03
192,0.3
193,0.49
194,-0.04
195,0.5
196,0.76
197,-0.24
198,0.34
199,0.54
200,-0.15
201,0.31
202,0.26
203,-0.2
204,0.69
205,1.14
206,-0.5
207,0.74
208,1.3
209,-0.1
210,0.38
211,0.79
212,-0.39
213,0.11
214,0.87
215,-0.39
216,-0.23
217,1.19
218,-0.06
219,0.24
220,2.21
221,0.58
222,-0.29
223,1.57
224,0.55
225,-1.05
226,0.74
227,0.59
228,-1.27
229,0.43
230,0.67
231,-1.0
232,0.47
233,0.31
234,-0.42
235,0.5
236,0.15
