,0
502,0.06
503,-3.42
504,2.2
505,-1.0
506,-2.36
507,0.95
508,-0.27
509,1.0
510,-0.28
511,0.89
512,3.72
513,-1.58
514,0.14
515,2.06
516,-3.68
517,-0.31
518,0.65
519,-0.84
520,0.27
521,-0.92
522,1.81
523,-0.05
524,-3.4
525,1.39
526,-0.87
527,-2.5
528,0.99
529,-1.09
530,-0.63
531,0.14
532,0.3
533,2.87
534,-0.79
535,0.46
536,2.18
537,-3.12
538,-0.32
539,1.43
540,-1.63
541,-0.54
542,-0.18
543,-0.48
544,-0.27
545,-1.46
546,1.61
547,-0.98
548,-1.95
549,0.05
550,-0.97
551,-1.01
552,0.76
553,-0.71
554,0.68
555,0.06
556,-0.48
557,1.27
558,0.75
559,-0.31
560,2.25
561,0.04
562,0.1
563,0.94
564,-0.51
565,-0.63
566,0.07
567,0.36
568,-0.6
569,-0.83
570,1.03
571,-0.47
572,-0.11
573,-0.0
574,-0.38
575,-0.35
576,0.31
577,-0.16
578,-0.2
579,0.61
580,0.2
581,1.11
582,0.54
583,0.31
584,1.41
585,0.6
586,-0.13
587,0.13
588,3.6
589,-0.28
590,0.22
591,5.07
592,0.02
593,0.29
594,2.39
595,0.12
596,0.52
597,1.3
598,0.89
599,-0.34
600,0.06
601,1.28
602,-0.79
603,-0.9
604,1.99
605,0.08
606,-1.24
607,0.92
608,-0.24
609,-1.52
610,0.67
611,-0.59
612,-0.62
613,1.06
614,0.38
615,1.77
616,1.35
617,0.15
618,4.0
619,0.41
620,0.26
621,3.81
622,-1.15
623,1.12
624,3.69
625,-1.14
626,0.37
627,2.46
628,-0.45
629,0.49
630,2.42
631,0.22
632,0.21
633,2.05
634,0.78
635,0.03
636,1.09
637,0.98
638,-0.02
639,0.48
640,0.7
641,-0.4
642,-0.14
643,0.95
644,-0.37
645,-0.64
646,0.47
647,-0.14
648,-0.64
649,0.52
650,-0.45
651,-0.58
652,0.26
653,-0.52
654,-0.46
655,0.38
656,-0.18
657,0.54
658,0.84
659,-0.16
660,1.52
661,0.97
662,0.91
663,2.68
664,0.76
665,0.98
666,2.49
667,0.1
668,0.76
669,2.06
670,-0.51
671,1.12
672,2.56
673,-1.32
674,1.18
675,1.75
676,-0.68
677,0.33
678,1.68
679,-0.37
680,0.56
681,2.38
682,0.12
683,0.45
684,2.05
685,0.72
686,0.15
687,1.57
688,0.83
689,-0.11
690,0.92
691,0.93
692,-0.59
693,-0.04
694,1.19
695,-0.47
