,0
0,0.8
1,0.4
2,-0.01
3,0.85
4,0.43
5,-0.02
6,0.84
7,0.34
8,-0.01
9,0.79
10,0.38
11,-0.01
12,0.84
13,0.52
14,0.01
15,0.87
16,0.48
17,0.0
18,0.81
19,0.54
20,-0.03
21,0.79
22,0.43
23,-0.03
24,0.79
25,0.49
26,-0.0
27,0.81
28,0.5
29,0.0
30,0.79
31,0.44
32,-0.01
33,0.87
34,0.37
35,0.0
36,0.81
37,0.48
38,-0.01
39,0.82
40,0.45
41,-0.01
42,0.84
43,0.41
44,-0.01
45,0.82
46,0.47
47,-0.01
48,0.82
49,0.49
50,-0.01
51,0.82
52,0.43
53,-0.01
54,0.82
55,0.45
56,-0.01
57,0.82
58,0.45
59,-0.01
60,0.81
61,0.45
62,-0.01
63,0.83
64,0.45
65,-0.02
66,0.83
67,0.46
68,-0.01
69,0.8
70,0.43
71,-0.01
72,0.83
73,0.45
74,-0.0
75,0.84
76,0.47
77,-0.02
78,0.81
79,0.45
80,-0.02
81,0.8
82,0.43
83,-0.0
84,0.85
85,0.48
86,-0.0
87,0.8
88,0.48
89,-0.03
90,0.8
91,0.45
92,-0.02
93,0.85
94,0.44
95,-0.01
96,0.8
97,0.46
98,-0.03
99,0.81
100,0.48
101,-0.02
102,0.82
103,0.43
104,-0.01
105,0.82
106,0.46
107,-0.02
108,0.82
109,0.48
110,-0.02
111,0.81
112,0.48
113,-0.02
114,0.82
115,0.46
116,-0.01
117,0.83
118,0.45
119,-0.02
120,0.81
121,0.45
122,-0.01
123,0.81
124,0.45
125,0.0
126,0.84
127,0.51
128,-0.01
129,0.82
130,0.44
131,-0.01
132,0.82
133,0.42
134,-0.01
135,0.8
136,0.49
137,-0.01
138,0.82
139,0.46
140,-0.01
141,0.82
142,0.46
143,-0.01
144,0.81
145,0.45
146,-0.01
147,0.82
148,0.47
149,-0.01
150,0.83
151,0.46
152,-0.01
153,0.82
154,0.45
155,-0.02
156,0.8
157,0.48
158,-0.01
159,0.9
160,0.47
161,0.02
162,0.88
163,0.55
164,-0.04
165,0.83
166,0.38
167,-0.05
168,0.8
169,0.38
170,-0.0
171,0.8
172,0.41
173,-0.0
174,0.82
175,0.4
176,-0.01
177,0.81
178,0.41
179,-0.02
180,0.85
181,0.42
182,-0.03
183,0.83
184,0.43
185,-0.01
186,0.85
187,0.44
188,-0.02
189,0.83
190,0.42
191,-0.03
192,0.82
193,0.42
194,-0.03
195,0.84
196,0.45
197,-0.02
198,0.81
199,0.43
200,-0.03
201,0.76
202,0.41
203,-0.0
204,0.89
205,0.52
206,0.0
207,0.89
208,0.33
209,-0.06
210,0.84
211,0.41
212,-0.04
213,0.8
214,0.47
215,-0.01
216,0.79
217,0.47
218,-0.01
219,0.83
220,0.45
221,-0.01
222,0.76
223,0.47
224,-0.02
225,0.89
226,0.39
227,0.0
228,0.84
229,0.44
230,-0.02
231,0.81
232,0.45
233,-0.02
234,0.89
235,0.41
236,-0.0
237,0.87
238,0.41
239,-0.02
240,0.84
241,0.33
242,-0.01
243,0.8
244,0.4
245,-0.01
246,0.88
247,0.51
248,0.02
249,0.85
250,0.44
251,-0.01
252,0.83
253,0.42
254,-0.02
255,0.84
256,0.47
257,0.0
258,0.82
259,0.51
260,-0.01
261,0.81
262,0.46
263,-0.02
264,0.84
265,0.42
266,0.0
267,0.81
268,0.51
269,-0.02
270,0.81
271,0.5
272,-0.02
273,0.82
274,0.45
275,0.0
276,0.83
277,0.47
278,-0.0
279,0.78
280,0.49
281,-0.02
282,0.83
283,0.47
284,-0.0
285,0.79
286,0.47
287,-0.01
288,0.8
289,0.49
290,-0.02
291,0.81
292,0.48
293,-0.02
294,0.81
295,0.48
296,-0.01
297,0.8
298,0.5
299,-0.01
300,0.8
301,0.48
302,-0.02
303,0.82
304,0.47
305,-0.01
306,0.8
307,0.5
308,-0.01
309,0.91
310,0.49
311,0.01
312,0.76
313,0.55
314,-0.04
315,0.87
316,0.36
317,-0.05
318,0.87
319,0.38
320,-0.02
321,0.78
322,0.43
323,-0.03
324,0.78
325,0.44
326,-0.02
327,0.9
328,0.41
329,-0.01
330,0.82
331,0.44
332,-0.04
333,0.82
334,0.45
335,-0.05
336,0.86
337,0.4
338,-0.01
339,0.83
340,0.41
341,-0.02
342,0.86
343,0.45
344,-0.02
345,0.81
346,0.48
347,-0.03
348,0.85
349,0.44
350,-0.02
351,0.83
352,0.41
353,-0.02
354,0.84
355,0.43
356,-0.02
357,0.83
358,0.44
359,-0.02
360,0.82
361,0.46
362,-0.03
363,0.83
364,0.46
365,-0.03
366,0.83
367,0.46
368,-0.03
369,0.83
370,0.45
371,-0.02
372,0.82
373,0.46
374,-0.03
375,0.82
376,0.46
377,-0.03
378,0.82
379,0.48
380,-0.03
381,0.81
382,0.48
383,-0.02
384,0.81
385,0.48
386,-0.02
387,0.83
388,0.45
389,-0.02
390,0.81
391,0.49
392,-0.03
393,0.8
394,0.49
395,-0.03
396,0.82
397,0.46
398,-0.02
399,0.82
400,0.47
401,-0.03
402,0.8
403,0.48
404,-0.03
405,0.82
406,0.47
407,-0.02
408,0.81
409,0.47
410,-0.03
411,0.81
412,0.48
413,-0.03
414,0.82
415,0.49
416,-0.03
417,0.81
418,0.47
419,-0.03
420,0.81
421,0.47
422,-0.02
423,0.81
424,0.48
425,-0.02
426,0.8
427,0.47
428,-0.02
429,0.78
430,0.5
431,-0.01
432,0.78
433,0.47
434,-0.0
435,0.84
436,0.38
437,0.02
438,0.82
439,0.56
440,-0.03
441,0.78
442,0.51
443,-0.08
444,0.83
445,0.56
446,-0.04
447,0.79
448,0.52
449,-0.03
450,0.79
451,0.48
452,-0.01
453,0.8
454,0.52
455,-0.01
456,0.79
457,0.5
458,-0.02
459,0.79
460,0.5
461,-0.01
462,0.8
463,0.51
464,-0.01
465,0.79
466,0.51
467,-0.01
468,0.79
469,0.49
470,-0.02
471,0.79
472,0.52
473,-0.01
474,0.79
475,0.51
476,-0.01
477,0.79
478,0.51
479,-0.01
480,0.83
481,0.52
482,-0.01
483,0.88
484,0.52
485,0.05
486,1.0
487,1.01
488,0.11
489,1.38
490,0.59
491,0.15
492,2.14
493,-0.38
494,0.13
495,0.65
496,0.49
497,0.45
498,-0.41
499,1.04
500,0.21
501,-1.98
502,0.56
503,-1.3
504,-0.79
505,1.03
506,0.1
507,-1.31
508,1.39
509,-0.52
510,-0.64
511,0.29
512,0.2
513,0.69
514,1.16
515,-0.35
516,0.04
517,2.38
518,-0.08
519,-0.33
520,-3.5
521,1.0
522,1.0
523,-3.4
524,0.61
525,0.88
526,0.33
527,0.54
528,-1.02
529,1.67
530,-0.3
531,-0.99
532,2.36
533,-0.8
534,-0.7
535,2.57
536,-0.49
537,0.13
538,0.79
539,0.09
540,1.89
541,0.01
542,1.07
543,1.96
544,-2.73
545,1.08
546,1.52
547,-2.64
548,0.24
549,0.16
550,-0.13
551,0.51
552,-1.15
553,1.13
554,-0.43
555,-1.39
556,3.74
557,-0.73
558,-1.25
559,1.91
560,-0.5
561,0.77
562,0.72
563,0.41
564,1.91
565,0.46
566,0.84
567,2.45
568,-0.42
569,0.72
570,1.77
571,-0.53
572,0.07
573,0.92
574,-0.12
575,0.1
576,0.31
577,0.11
578,0.28
579,-0.31
580,1.28
581,0.0
582,-0.62
583,1.93
584,-0.33
585,-0.58
586,0.85
587,-0.5
588,-0.45
589,0.45
590,-0.63
591,-0.46
592,0.39
593,-0.58
594,-0.36
595,0.23
596,-0.52
597,-0.12
598,0.07
599,-0.48
600,-0.22
601,0.48
602,-0.23
603,-0.98
604,1.1
605,-0.53
606,-0.9
607,1.1
608,-0.37
609,-0.0
610,1.21
611,-0.12
612,0.24
613,0.72
614,-0.02
615,-1.09
616,1.32
617,-0.22
618,-0.6
619,2.53
620,0.65
621,-1.1
622,2.2
623,-0.02
624,-1.74
625,2.68
626,0.0
627,0.01
628,2.18
629,0.47
630,-0.18
631,0.73
632,0.45
633,-0.7
634,0.99
635,0.0
636,-0.87
637,1.19
638,-0.23
639,-1.34
640,0.65
641,-0.55
642,-1.16
643,-0.17
644,-1.0
645,-0.6
646,-0.04
647,-0.67
648,0.26
649,-0.99
650,-0.38
651,0.45
652,-0.24
653,-0.42
654,0.32
655,-0.02
656,-0.45
657,0.04
658,-0.31
659,-0.37
660,0.58
661,-0.42
662,-0.05
663,1.41
664,-1.05
665,-0.11
666,-1.24
667,0.69
668,0.11
669,-4.72
670,0.34
671,0.31
672,-3.42
673,1.4
674,-0.97
675,-1.24
676,-0.75
677,-0.04
678,-1.12
679,1.31
680,-0.51
681,-0.58
682,1.34
683,-0.21
684,-0.41
685,1.01
686,-0.13
687,-0.12
688,0.45
689,-0.1
690,-0.14
691,0.51
692,-0.36
693,-0.21
694,0.32
695,-0.42
696,-0.18
697,0.21
698,-0.42
699,-0.13
700,0.11
701,-0.43
702,-0.11
703,0.16
704,-0.4
705,-0.08
706,0.3
707,-0.33
708,-0.14
709,-0.0
710,-0.42
711,-0.26
712,-0.05
713,-0.48
714,-0.63
715,0.2
716,-0.75
717,-0.38
718,-0.58
719,-0.69
720,0.44
721,-1.13
722,0.36
723,0.26
724,1.65
725,-2.19
726,-0.13
727,2.73
728,0.0
729,-2.21
730,-0.52
731,-0.21
732,-4.65
733,1.08
734,0.87
735,-1.65
736,1.88
737,-0.06
738,-0.58
739,0.98
740,-0.36
741,-0.31
742,1.16
743,-0.13
744,-0.26
745,0.45
746,-0.16
747,-0.41
748,0.2
749,-0.18
750,-0.47
751,0.33
752,-0.41
753,-0.49
754,0.44
755,-0.37
756,-0.29
757,0.31
758,-0.36
759,-0.1
760,0.33
761,-0.32
762,-0.05
763,0.12
764,-0.37
765,-0.21
766,0.03
767,-0.38
768,-0.32
769,-0.14
770,-0.42
771,-0.33
772,-0.59
773,-0.84
774,-0.16
775,-0.8
776,-0.48
777,0.21
778,-0.39
779,-0.53
780,-1.24
781,0.62
782,-0.22
783,-1.62
784,2.38
785,-0.56
786,-4.16
787,0.29
788,0.01
789,-3.61
790,2.45
791,-1.21
792,-1.18
793,0.24
794,-0.64
795,-0.57
796,2.16
797,-0.14
798,-0.22
799,1.38
800,-0.23
801,-0.27
802,0.67
803,-0.2
804,-0.4
805,0.24
806,-0.16
807,-0.41
808,0.19
809,-0.13
810,-0.38
811,0.29
812,-0.17
813,-0.24
814,0.27
815,-0.15
816,-0.2
817,0.15
818,-0.2
819,-0.17
820,0.09
821,-0.27
822,-0.07
823,0.07
824,-0.31
825,-0.1
826,-0.0
827,-0.4
828,-0.17
829,-0.22
830,-0.63
831,-0.41
832,-0.34
833,-0.9
834,-1.02
835,-0.46
836,-0.99
837,-1.67
838,0.11
839,-0.99
840,-2.02
841,2.7
842,1.7
843,-2.89
844,0.62
845,-0.3
846,-4.08
847,0.79
848,-1.1
849,-0.99
850,0.85
851,0.04
852,-0.66
853,1.66
854,-0.16
855,-0.4
856,1.34
857,-0.05
858,-0.14
859,0.76
860,-0.01
861,-0.26
862,0.62
863,-0.19
864,-0.4
865,0.5
866,-0.15
867,-0.45
868,0.42
869,-0.28
870,-0.38
871,0.43
872,-0.3
873,-0.36
874,0.41
875,-0.34
876,-0.3
877,0.31
878,-0.34
879,-0.18
880,0.31
881,-0.28
882,-0.11
883,0.1
884,-0.18
885,-0.23
886,-0.17
887,-0.24
888,-0.77
889,-0.47
890,-0.25
891,-2.0
892,-0.82
893,-0.58
894,-2.84
895,0.65
896,-1.05
897,-0.7
898,1.75
899,1.67
900,-2.51
901,2.32
902,0.09
903,-1.05
904,1.65
905,-0.59
906,-0.6
907,1.26
908,-0.45
909,-0.26
910,1.28
911,-0.07
912,-0.38
913,0.78
914,-0.03
915,-0.62
916,0.4
917,-0.08
918,-0.56
919,0.63
920,-0.14
921,-0.34
922,0.61
923,-0.19
924,0.1
925,0.83
926,-0.04
927,0.31
928,0.09
929,-0.17
930,0.48
931,0.44
932,-0.1
933,0.74
934,0.41
935,-0.12
936,0.89
937,1.1
938,-0.05
939,0.75
940,0.92
941,-0.08
942,0.51
943,0.24
944,-0.04
945,0.65
946,0.54
947,-0.0
948,0.2
949,0.63
950,-0.3
951,0.59
952,1.33
953,0.01
954,0.43
955,0.84
956,0.05
957,0.46
958,0.49
959,0.14
960,0.82
961,1.46
962,0.28
963,0.39
964,0.72
965,0.08
966,0.32
967,0.98
968,0.14
969,0.68
970,0.9
971,0.22
972,0.53
973,0.77
974,0.27
975,0.52
976,0.86
977,0.3
978,0.52
979,0.71
980,0.32
981,0.49
982,0.64
983,0.28
984,0.41
985,0.57
986,0.22
987,0.52
988,0.53
989,0.06
990,0.37
991,0.62
992,0.03
993,0.56
994,0.98
995,-0.07
996,0.58
997,0.71
998,0.06
999,0.55
1000,0.77
1001,0.08
1002,0.5
1003,0.81
1004,0.12
1005,0.47
1006,0.74
1007,0.13
1008,0.52
1009,0.95
1010,0.26
1011,0.6
1012,0.76
1013,0.34
1014,0.63
1015,0.91
1016,0.54
1017,0.65
1018,1.03
1019,0.62
1020,0.54
1021,0.71
1022,0.66
1023,0.45
1024,0.68
1025,0.53
1026,0.55
1027,0.87
1028,0.58
1029,0.71
1030,1.04
1031,0.58
1032,0.67
1033,0.96
1034,0.5
1035,0.48
1036,0.68
1037,0.25
1038,0.48
1039,-0.03
1040,0.15
1041,0.5
1042,0.07
1043,-0.01
1044,0.54
1045,0.25
1046,-0.1
1047,0.59
1048,0.57
1049,-0.04
1050,0.7
1051,0.7
1052,0.03
1053,0.92
1054,0.63
1055,0.04
1056,1.03
1057,0.73
1058,0.03
1059,1.05
1060,0.76
1061,0.03
1062,1.19
1063,1.31
1064,0.07
1065,1.16
1066,0.6
1067,0.17
1068,0.92
1069,-0.61
1070,0.52
1071,0.72
1072,-0.04
1073,0.17
1074,0.72
1075,-0.05
1076,-0.05
1077,0.52
1078,-0.08
1079,-0.09
1080,0.59
1081,-0.19
1082,-0.11
1083,0.68
1084,-0.24
1085,-0.14
1086,0.75
1087,-0.12
1088,-0.09
1089,0.81
1090,-0.03
1091,-0.07
1092,0.94
1093,-0.3
1094,0.06
1095,1.16
1096,-0.25
1097,0.21
1098,1.21
1099,-0.36
1100,0.26
1101,0.98
1102,-0.51
1103,0.39
1104,1.03
1105,-0.31
1106,0.21
1107,1.01
1108,-0.43
1109,0.14
1110,0.82
1111,-0.47
1112,0.11
1113,0.76
1114,-0.34
1115,0.1
1116,0.86
1117,-0.33
1118,0.09
1119,0.97
1120,-0.45
1121,0.06
1122,0.96
1123,-0.23
1124,0.09
1125,0.96
1126,-0.08
1127,0.15
1128,0.88
1129,0.02
1130,0.18
1131,1.05
1132,0.19
1133,0.12
1134,1.05
1135,0.2
1136,0.07
1137,0.88
1138,0.08
1139,-0.08
1140,0.44
1141,0.39
1142,-0.43
1143,0.48
1144,0.3
1145,-0.3
1146,0.82
1147,0.16
1148,-0.2
1149,0.78
1150,-0.05
